"student_id","program_id","timestamp","GADS_1orig","GADS_2orig","GADS_3orig","GADS_4orig","GADS_10orig","GADS_11orig","GADS_12orig","GADS_13orig","GADS_1","GADS_2","GADS_3","GADS_4","GADS_10","GADS_11","GADS_12","GADS_13","GADS_sum_ans_4","GADS_sum_dep_4","SE01_conf_aprender","SE02_autonomia_aprender","SE14NEG_cuesta_ejercicios","SE14R_cuesta_ejercicios","SE03_resolver_ejercicios","SE04_estudiar_tiempo_necesario","SE15NEG_cuesta_clases","SE15R_cuesta_clases","SE06_entender_compleja","SE08_buscar_ayuda_autonomia","SE09_conf_aprobar","SE10_identif_baches","SE16NEG_cuesta_comparacion","SE16R_cuesta_comparacion","SE11_entender_clases","SE13_resiliencia","SE_t1","SEpos_t1","SENeg_t1","SENegR_t1","BPN01_AS","BPN02_AF","BPN03_RF","BPN04_CS","BPN05_AS","BPN06_AF","BPN07_RS","BPN08_RF","BPN09_CF","BPN10_RS","BPN11_CF","BPN12_CS","BPN_CS_t2","BPN_CF_t2","BPN_AS_t2","BPN_AF_t2","BPN_RS_t2","BPN_RF_t2","PERC_lastP_cat","PERC_lastP","SABE_NOTA_lastP","ESTUDIO_ANTICIPADO_cat","ESTUDIO_ANTICIPADO","VECES_ESTUDIO_cat","VECES_ESTUDIO","HORAS_ESTUDIO_cat","HORAS_ESTUDIO","ESTUDIARIA_MAS_cat","ESTUDIARIA_MAS","VER_VS_RESOLVER_APRENDER","VER_VS_RESOLVER_PRUEBAS","VER_VS_RESOLVER_TIEMPO"
"d3da9ce1c300951d0c7236defe7df6",1822,"6/24/2024 11:16:51",1,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,4,5,2,5,5,4,2,5,4,5,4,4,4,3,4,3,4.230769231,4.2,2.666666667,4.333333333,4,3,2,4,4,3,4,2,4,4,4,4,4,4,4,3,4,2,"mal",2,"Si","entre 3 y 6 días antes",3,"4 veces",4,"entre 6 y 10 horas",6,"Mucho más",2,5,6,3
"ee8658a1cbbccedb62355d3a42503c",1740,"7/1/2024 14:43:18",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,5,4,2,5,4,5,6,3,4,3,5,4,4.230769231,4.5,3.666666667,3.333333333,3,3,1,4,4,3,4,1,2,5,2,4,4,2,3.5,3,4.5,1,"bien",4,"Si","1 semana antes",7,"3 veces",3,"entre 6 y 10 horas",6,"Más",1,4,5,4
"601b909c329f83c7deadd723a33184",1822,"6/24/2024 11:12:30",3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3.230769231,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"muy mal",1,"Si","2 semanas antes",14,"4 veces",4,"entre 6 y 10 horas",6,"Más",1,6,6,3
"b10c60398a6184c84750f27a6f952a",1736,"6/26/2024 15:12:26",1,2,1,1,2,1,1,1,0,1,0,0,1,0,0,0,1,1,4,4,4,3,3,5,5,2,5,4,3,2,4,3,4,4,3.538461538,3.8,4.333333333,2.666666667,3,4,1,3,3,3,4,1,5,5,4,4,3.5,4.5,3,3.5,4.5,1,"más o menos",3,"No","1 día antes",1,"2 veces",2,"entre 3 y 6 horas",3,"Mucho más",2,3,3,2
"fa01b898eb89d2e3893bf81e37c6bd",1822,"6/24/2024 11:12:33",2,2,2,1,2,1,1,1,1,1,1,0,1,0,0,0,3,1,4,5,4,3,5,4,3,4,4,3,4,5,5,2,4,4,3.923076923,4.2,4,3,4,4,2,3,3,2,5,3,4,4,3,3,3,3.5,3.5,3,4.5,2.5,"más o menos",3,"No","entre 3 y 6 días antes",3,"4 veces",4,"entre 6 y 10 horas",6,"Mucho más",2,4,4,4
"11df933242b6b3d1b8d76131c196d8",1704,"6/25/2024 12:02:16",1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,6,4,3,5,6,5,2,5,5,6,6,4,3,5,6,4.923076923,5.6,4.333333333,2.666666667,4,3,3,5,5,1,4,2,4,4,4,5,5,4,4.5,2,4,2.5,"bien",4,"No","1 semana antes",7,"5 o más veces",5,"entre 10 y 15 horas",10,"Más",1,6,6,6
"1fd53f680e91e645c3e97c436b1852",1704,"6/25/2024 12:00:19",3,3,3,2,2,1,1,2,1,1,1,1,1,0,0,1,4,2,5,6,3,4,2,4,4,3,6,3,5,4,2,5,2,2,3.923076923,3.9,3,4,3,5,1,4,5,4,4,3,5,4,4,2,3,4.5,4,4.5,4,2,"mal",2,"No","2 días antes",2,"2 veces",2,"entre 3 y 6 horas",3,"Mucho más",2,4,4,2
"16d2f22622c45ab1d97b812a53c611",1704,"6/25/2024 12:00:22",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,2,5,6,3,4,4,5,5,5,5,2,5,5,4.461538462,5,4.333333333,2.666666667,4,4,1,5,4,4,5,5,3,4,4,4,4.5,3.5,4,4,4.5,3,"más o menos",3,"No","entre 3 y 6 días antes",3,"3 veces",3,"entre 3 y 6 horas",3,"Más",1,6,6,4
"cfec707aafb005a3cbb48551a43d16",1740,"7/1/2024 14:43:00",2,3,2,3,3,1,1,1,1,1,1,1,1,0,0,0,4,1,4,2,3,4,3,2,4,3,4,3,2,3,5,2,3,2,2.846153846,2.8,4,3,4,3,3,2,3,1,2,4,5,1,4,1,1.5,4.5,3.5,2,1.5,3.5,"muy mal",1,"No","No estudié",0,"1 vez",1,"entre 1 y 3 horas",1,"Mucho más",2,3,3,2
"17f1d97b98e4666b960d8365a96795",1736,"7/3/2024 17:45:07",1,1,0,2,2,1,0,0,0,0,0,1,1,0,0,0,1,1,5,6,1,6,6,6,2,5,6,6,6,6,1,6,6,5,5.769230769,5.8,1.333333333,5.666666667,4,3,1,5,5,1,2,1,2,4,1,5,5,1.5,4.5,2,3,1,"bien",4,"Si","3 semanas antes o más",21,"5 o más veces",5,"entre 10 y 15 horas",10,"Mucho más",2,6,6,5
